cell_id,reduction,delta_close_deg,q_c_rel,n,n_failed,p_mean_of_pair,p_mean_of_pair_lo,p_mean_of_pair_hi,n_p_mean_of_pair,p_arrive_C,p_arrive_C_lo,p_arrive_C_hi,n_p_arrive_C,p_arrive_AB,p_arrive_AB_lo,p_arrive_AB_hi,n_p_arrive_AB,p_timeout,p_timeout_lo,p_timeout_hi,n_p_timeout,p_no_commit,p_no_commit_lo,p_no_commit_hi,n_p_no_commit,p_final_mean_of_pair,p_final_mean_of_pair_lo,p_final_mean_of_pair_hi,n_p_final_mean_of_pair,p_bimodal_t2,p_bimodal_t2_lo,p_bimodal_t2_hi,n_p_bimodal_t2,p_merged_t2,p_merged_t2_lo,p_merged_t2_hi,n_p_merged_t2,p_commit_A,p_arrive_A,p_commit_B,p_arrive_B,p_commit_C,median_t_commit,median_t_arrival,mean_t_arrival,p_detector_fired,median_t_bif
10,sum,25.0,1.01,200,0,0.82,0.7608840628376157,0.8670544933746589,164,0.57,0.500703604055383,0.636657955116052,114,0.43,0.36334204488394795,0.49929639594461706,86,0.0,0.0,0.018846005918320894,0,0.03,0.013820125830748327,0.06389511973247333,6,0.015,0.005114145184492387,0.043166480556278884,3,0.175,0.12860441174608936,0.23364549210081922,35,0.825,0.7663545078991807,0.8713955882539106,165,0.0,0.055,0.025,0.375,0.125,1.0,25.45006388540634,19.293964530338,1.0,1.0
11,sum,25.0,1.02,200,0,0.82,0.7608840628376157,0.8670544933746589,164,0.585,0.5157378707263818,0.6510583082675037,117,0.415,0.3489416917324964,0.48426212927361817,83,0.0,0.0,0.018846005918320894,0,0.03,0.013820125830748327,0.06389511973247333,6,0.01,0.0027466006037749346,0.03572248519617954,2,0.175,0.12860441174608936,0.23364549210081922,35,0.825,0.7663545078991807,0.8713955882539106,165,0.0,0.055,0.025,0.36,0.125,1.0,25.437512379255384,19.564773890595138,1.0,1.0
12,sum,30.0,1.0,200,0,0.38,0.3155889366123922,0.4489341048080049,76,0.0,0.0,0.018846005918320894,0,0.985,0.9568335194437211,0.9948858548155076,197,0.015,0.005114145184492387,0.043166480556278884,3,0.395,0.3298398699878317,0.4641177912550158,79,0.0,0.0,0.018846005918320894,0,0.545,0.4757848503696115,0.6125190090977398,109,0.455,0.38748099090226035,0.5242151496303886,91,0.0,0.61,0.225,0.375,0.0,1.0,14.876860507800759,14.767452855454163,1.0,1.0
13,sum,30.0,1.01,200,0,0.38,0.3155889366123922,0.4489341048080049,76,0.0,0.0,0.018846005918320894,0,0.99,0.9642775148038205,0.9972533993962251,198,0.01,0.0027466006037749346,0.03572248519617954,2,0.39,0.325082297194914,0.45906382410711677,78,0.0,0.0,0.018846005918320894,0,0.545,0.4757848503696115,0.6125190090977398,109,0.455,0.38748099090226035,0.5242151496303886,91,0.0,0.615,0.23,0.375,0.0,1.0,14.887995394564744,14.279930177335212,1.0,1.0
14,sum,30.0,1.02,200,0,0.38,0.3155889366123922,0.4489341048080049,76,0.02,0.007804300176394188,0.050287865505193874,4,0.965,0.9295285391333187,0.9829446753626429,193,0.015,0.005114145184492387,0.043166480556278884,3,0.39,0.325082297194914,0.45906382410711677,78,0.0,0.0,0.018846005918320894,0,0.545,0.4757848503696115,0.6125190090977398,109,0.455,0.38748099090226035,0.5242151496303886,91,0.0,0.605,0.225,0.36,0.005,1.0,14.900976172761919,14.18369467002763,1.0,1.0
15,sum,40.0,1.0,200,0,0.0,0.0,0.018846005918320894,0,0.01,0.0027466006037749346,0.03572248519617954,2,0.96,0.9230670617058012,0.9795946128493436,192,0.03,0.013820125830748327,0.06389511973247333,6,0.39,0.325082297194914,0.45906382410711677,78,0.005,0.0008831459893662054,0.02777439986977148,1,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.255,0.615,0.345,0.345,0.01,9.0,16.390667628945188,18.431332071484867,1.0,1.0
16,sum,40.0,1.01,200,0,0.0,0.0,0.018846005918320894,0,0.01,0.0027466006037749346,0.03572248519617954,2,0.965,0.9295285391333187,0.9829446753626429,193,0.025,0.010724561470787711,0.05717914415161715,5,0.395,0.3298398699878317,0.4641177912550158,79,0.01,0.0027466006037749346,0.03572248519617954,2,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.25,0.62,0.345,0.345,0.01,9.0,16.398338282569227,18.343433952459385,1.0,1.0
17,sum,40.0,1.02,200,0,0.005,0.0008831459893662054,0.02777439986977148,1,0.01,0.0027466006037749346,0.03572248519617954,2,0.96,0.9230670617058012,0.9795946128493436,192,0.03,0.013820125830748327,0.06389511973247333,6,0.445,0.3778048169746545,0.5142682436763609,89,0.02,0.007804300176394188,0.050287865505193874,4,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.195,0.615,0.345,0.345,0.01,9.0,16.409374290661184,17.80864491166702,1.0,1.0
18,sum,60.0,1.0,200,0,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.97,0.9361048802675267,0.9861798741692518,194,0.03,0.013820125830748327,0.06389511973247333,6,0.03,0.013820125830748327,0.06389511973247333,6,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.505,0.505,0.465,0.465,0.0,7.0,10.196401064608647,10.195312073815456,1.0,1.0
19,sum,60.0,1.01,200,0,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.955,0.9167024063390322,0.9761477282752958,191,0.045,0.023852271724704166,0.08329759366096785,9,0.045,0.023852271724704166,0.08329759366096785,9,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.49,0.49,0.465,0.465,0.0,7.0,10.196721824211643,10.195822992504418,1.0,1.0
