variant,sigma,reduction,n,acc_all,acc_all_lo,acc_all_hi,acc_decided,decided_frac,median_t_arrival,mean_t_arrival
campaign,1.5,max,200,0.55,0.48075488574571107,0.6173605136624569,0.55,1.0,10.243831148739094,10.257128652517409
campaign,1.5,sum,200,0.55,0.48075488574571107,0.6173605136624569,0.55,1.0,10.24391601578106,10.257210932039788
spec,0.1,max,200,0.69,0.622826945087378,0.75001157266366,0.69,1.0,10.205301448373643,10.211477040539862
spec,0.1,sum,200,0.69,0.622826945087378,0.75001157266366,0.69,1.0,10.20539028959358,10.211410118361014
